,Case Number,Date,Year,Month,Hour,Place,Area,Location,Activity,Sex,Fatal
2719,1983.04.12,1983.04.12,1983,04,19:30,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Fishing,M,0
2720,1983.04.02.b,1983.04.02,1983,04,11:00,USA,Florida,"Lake Worth Beach, Palm Beach County",Surfing,M,0
2721,1983.04.02.a,1983.04.02,1983,04,Unknown,SOUTH AFRICA,KwaZulu-Natal,Mpande,Others,M,0
2722,1983.03.30.a,1983.03.30,1983,03,11:15,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Fishing,M,0
2723,1983.03.22,1983.03.22,1983,03,12:30,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,M,0
2724,1983.03.10,1983.03.10,1983,03,Unknown,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,0
2725,1983.03.00,1983.03.00,1983,03,Unknown,NEW CALEDONIA,Loyalty Islands,"We, Lifou",Others,,0
2726,1983.02.20,1983.02.20,1983,02,12:30,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Others,M,0
2727,1983.01.24,1983.01.24,1983,01,Unknown,USA,South Carolina,60 miles southeast of Beaufort,Fishing,M,0
2728,1983.01.15,1983.01.15,1983,01,Unknown,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Others,M,1
2729,1983.01.10,1983.01.10,1983,01,18:15,SOUTH AFRICA,Western Cape Province,Muizenberg,Surfing,M,0
2730,1983.01.08,1983.01.08,1983,01,13:00,SOUTH AFRICA,Western Cape Province,Holbaai,Fishing,M,0
2734,1982.11.00,1982.11.00,1982,11,Unknown,USA,South Carolina,"Isle of Palms, Charleston County",Others,M,0
2735,1982.10.13,1982.10.13,1982,10,11:00,USA,Florida,North Dade- Interama area of Biscayne Bay,Surfing,M,0
2736,1982.09.30.b,1982.09.30,1982,09,16:00,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,0
